GarageArea,GrLivArea,TotalBsmtSF,YearBuilt
884,4676,3138,2007
624,1176,698,1937
0,720,720,1920
830,1580,1580,2007
0,1440,1440,1977
540,1476,738,2005
570,1500,1500,2004
216,1348,884,1925
884,1200,864,1965
514,1394,1394,1963
484,1632,800,1966
336,912,912,1967
864,2624,1370,1918
349,1696,1140,1962
440,1230,440,1910
440,2727,853,1932
429,1456,728,2006
660,864,864,1970
380,1709,970,2004
528,1665,810,2001
656,2646,1347,1993
595,1640,798,2003
420,1699,978,1900
529,1663,1364,1954
504,1728,1728,1963
462,1845,1055,1992
440,1851,822,1964
776,1489,1489,2006
300,864,864,1959
276,1256,1256,1965
816,816,816,1982
492,1820,864,1965
833,2127,1104,1991
461,1065,1065,1960
312,1200,1200,1923
632,1208,1187,2006
642,2482,1094,2005
527,1720,1720,1996
0,840,672,1930
496,1294,1278,1991
450,1090,1090,2005
420,2263,1141,1998
440,969,969,1975
1248,894,894,1935
360,1028,1008,1927
492,1958,979,1946
895,1795,1795,2006
606,1940,1930,2009
439,1178,1176,1973
400,1482,672,1925
554,1428,1417,2008
338,864,864,1972
200,1111,616,1941
420,1470,680,1993
440,1116,1116,1962
288,864,864,1959
498,1297,1297,1954
264,1113,1113,1950
577,1501,1490,1999
614,1547,756,2009
678,1947,991,2004
908,1717,1709,2006
440,1052,1010,1971
455,2013,1117,1996
388,1266,1266,2007
716,2868,1992,2005
554,2256,952,2000
494,1414,1414,2004
471,1721,928,1994
434,1552,713,1975
528,1128,698,1920
358,1118,1096,1977
574,1728,1728,1976
711,2448,1629,1994
452,1473,1437,1968
400,1717,1156,1990
400,1166,856,2005
484,1370,1370,2006
480,1724,1680,1967
380,1709,970,2004
264,987,483,1971
216,1802,793,1920
360,2345,952,1932
264,1068,1059,1963
533,1617,1604,1993
336,1244,1244,1957
252,1180,700,1922
480,1223,600,2005
612,1686,1686,1980
800,1646,1638,2007
264,1144,864,1961
639,1797,939,2006
462,1224,0,1962
839,1865,992,2000
308,1056,1056,1958
820,3140,1926,2008
492,1212,506,1977
636,1694,1686,2004
413,1511,802,1997
246,1057,1057,1953
560,2290,777,1885
786,2183,1204,1988
594,3222,1673,1990
512,1716,880,1996
457,1342,1372,1967
437,1504,1346,2005
648,1992,1053,2003
462,1252,600,1999
264,999,999,1962
528,1363,622,1910
490,1165,1127,1966
702,1668,1626,2002
853,2376,1158,2005
352,1440,540,1900
388,1470,794,1997
532,1541,1541,2005
0,1440,1440,1955
438,1146,868,2003
481,1494,1494,1995
738,2224,1462,2004
186,1343,731,1921
683,2452,1028,1998
540,1977,816,1964
504,1767,1064,1987
550,1324,1324,2006
330,1458,912,1948
440,1314,1314,2006
529,1575,1575,1992
912,1620,1620,2007
304,1788,1104,1957
240,913,814,1966
500,2073,1542,1978
492,1441,776,1999
225,1690,815,1916
576,1437,1188,1956
508,2156,1568,1968
0,864,864,1925
336,1112,536,1976
746,2243,700,1990
210,1328,686,1925
216,968,656,1927
384,1396,698,1915
834,1856,1856,2010
789,2161,1582,2007
529,1602,1602,1977
280,1302,630,1971
393,1509,783,2002
352,912,912,1962
420,1664,1004,1947
576,1694,1181,1925
220,747,747,1945
420,1040,0,1950
493,1660,831,2002
308,1691,1026,1924
720,864,864,1950
264,752,744,1984
564,1792,963,2001
474,1626,764,2003
472,1484,1476,2006
870,3493,1470,1880
840,1652,1652,2006
350,1276,1276,1958
271,1668,856,1950
0,1192,720,1949
504,884,840,1983
454,2062,1157,1988
392,827,0,1955
532,2019,728,1910
336,1304,264,1976
216,1368,684,1910
379,1605,840,1915
900,2020,2006,2009
528,1250,625,2006
757,1624,1624,1994
360,845,845,1982
418,1389,1389,1974
480,968,968,1923
286,1092,546,1970
420,848,848,2003
308,1269,1269,1960
288,1092,1092,1962
539,2263,795,1977
283,952,952,1956
0,1452,736,1920
504,1039,1039,1965
412,1204,1204,1998
672,1117,1029,1976
701,2196,2158,1990
328,985,985,1977
880,1629,3206,2003
216,1477,861,1928
484,980,980,1977
590,2295,1095,1992
180,1502,602,1923
432,2201,697,1966
836,2078,1034,2007
0,800,264,1936
840,1578,1573,2008
774,1932,1932,2008
404,1507,1075,1960
280,900,882,1967
786,1718,1700,2006
240,1750,636,1880
834,2398,1379,1996
680,1968,774,2009
532,1536,1536,2002
200,864,864,1914
546,3228,3200,1992
670,2149,1434,2003
864,2640,1240,1880
530,1682,1304,1970
878,2098,1030,2005
360,864,864,1965
530,1968,784,1969
480,1097,1040,1984
528,1196,684,1920
451,1920,1052,1958
576,1728,1728,1965
577,2031,1128,2002
297,1196,1196,1956
360,803,720,1941
462,1620,780,1969
1134,2097,2077,2005
617,1869,1869,2007
431,1886,930,1998
308,480,480,1949
516,1296,0,1967
288,816,816,1938
478,1601,1271,1978
451,1792,936,2000
796,2520,1338,1993
796,1144,1144,1959
621,2601,612,1921
312,1577,972,1939
624,970,970,1963
513,2036,2136,1965
440,1026,1026,1969
0,698,698,1947
576,1533,1533,1975
660,1382,720,1941
530,1391,1391,2004
240,1078,1078,1950
471,1296,1267,2001
301,1442,1442,1958
0,1964,940,1911
644,1502,1502,2009
458,1392,1392,1957
0,1768,1768,1968
390,1582,1624,1964
301,958,958,1960
600,894,894,1972
402,1224,1224,1999
846,2332,1682,2007
430,1269,1256,2004
712,1776,1732,2006
390,1456,728,2005
539,1194,655,1959
240,1008,1008,1953
430,1555,1373,2005
180,1784,747,1914
280,1108,637,1930
400,1394,384,2006
496,1714,980,1988
294,882,0,1959
0,1306,728,1940
288,1217,626,1980
299,990,990,1994
691,2452,1117,2004
420,848,848,2003
300,1369,672,1925
676,1218,1218,2009
672,2555,588,1922
550,1247,1247,2005
619,2872,1330,1977
482,1652,1600,2008
546,1844,1844,1977
689,1971,1113,2005
463,1800,982,2000
574,1949,1050,1993
0,630,630,1972
530,1494,1494,2002
0,968,600,1910
508,1274,1274,2005
364,1520,1156,1955
528,1285,660,1977
393,1509,783,2003
550,1935,793,1976
0,816,816,1990
555,1200,1176,2003
548,1470,941,1954
528,1656,1080,1960
240,792,768,1924
818,1694,1694,2007
765,1800,1800,2002
560,2337,662,1900
315,1846,1040,1949
576,1026,940,1978
408,904,876,1966
484,1126,1126,1977
872,2468,1136,2004
540,988,938,1969
288,1052,1052,1968
0,1096,572,1924
484,1141,1141,2005
484,1790,732,1972
660,1852,1004,1999
0,754,520,1935
513,1344,624,1916
576,2207,1947,1970
360,2358,907,1908
831,2715,1142,1976
484,1364,1364,2005
402,1253,1237,1995
528,1328,1328,1963
286,1422,978,1960
486,1986,768,1965
192,952,952,1916
500,1660,1660,2006
1166,2234,2216,2008
160,790,768,1930
396,1340,1340,2007
480,1610,1610,1977
600,2620,1361,1977
438,1248,1248,2005
288,912,912,1961
472,1638,943,1998
1356,1622,1249,1961
180,2320,1028,1945
456,1144,1144,1961
281,1520,793,1932
472,1516,1516,1964
675,1498,1498,2006
560,1961,804,2001
440,1456,728,2006
349,2403,1032,1940
708,1944,1896,2003
474,1368,1368,2005
588,1790,873,1999
858,2713,1452,2008
312,1271,720,1948
604,1872,1845,1988
577,2090,1190,1984
546,1796,794,1998
436,1302,1302,2007
542,2524,2524,1981
338,1374,840,1920
474,1626,764,2003
240,1034,735,1940
588,1518,1518,2003
240,1818,1040,1931
598,1661,1649,1998
432,1991,854,1932
324,1482,650,1920
564,1742,1742,1985
280,1250,686,1918
528,1176,816,1934
506,1915,908,1992
240,1595,940,1940
377,1661,992,1955
552,1935,832,2009
534,1795,1777,2002
434,1928,847,2003
336,1159,1051,1968
440,1456,855,1978
431,1954,798,1939
880,2028,1868,2005
665,2898,1565,1976
663,1674,814,2000
0,974,974,1991
586,1989,1065,2002
678,2097,1080,1993
500,1442,1424,1990
720,1130,1120,1920
240,1820,1026,1925
583,2119,689,1972
666,2576,1234,2006
0,1020,780,1875
779,1774,1095,1900
0,904,683,1922
490,1382,673,2000
840,3608,1107,1892
205,2210,1008,1880
373,1572,806,1995
739,1824,1643,1971
304,1056,1056,1968
392,1221,784,1924
504,1362,1362,1961
420,848,848,2004
527,1434,1454,2001
628,1208,1208,2007
566,1466,796,1936
691,1987,1986,1994
983,2418,1311,1993
626,1314,1314,2007
380,1709,970,2004
0,1218,672,1971
0,3395,1440,1914
0,1200,1200,1987
297,912,912,1958
832,4316,2444,1994
548,1710,856,2003
656,2374,1181,2003
234,1564,704,1941
528,1466,1466,1959
292,1383,1383,1960
410,1535,0,1979
576,990,990,1995
240,1646,918,1941
440,1928,1020,1910
550,1725,539,1979
541,2872,1683,1992
576,2112,952,1969
240,1324,672,1936
480,1200,600,2005
468,1344,672,1920
500,1668,840,2003
400,1040,0,1950
576,900,900,1951
812,1559,1559,1948
248,948,864,1954
264,923,923,1980
782,1552,1552,2005
642,1717,756,1915
440,1721,1461,1968
264,987,483,1973
521,1200,1200,1995
281,1716,768,1949
336,894,894,1965
336,1771,0,1960
528,1173,1053,1974
576,1287,1063,1959
459,1382,1051,1963
721,2520,1203,1995
297,1215,1215,1958
844,2526,1165,1994
480,1200,600,2004
560,1728,1728,1976
480,1710,576,1921
870,2392,1396,1997
457,1744,996,1993
562,1665,813,2007
792,2696,1264,2007
528,864,864,1971
234,672,672,1941
564,1320,1164,1966
440,958,1078,1976
550,1710,1710,2004
502,1265,1219,1965
400,1456,1273,2003
576,1539,927,1936
766,1959,1907,1988
0,1522,1008,1926
0,1124,0,1954
484,2090,1107,1973
461,1214,1214,1965
454,1779,1763,1955
808,1629,1616,2002
627,1554,1554,2006
642,2236,964,1997
0,796,796,1922
308,1680,840,1915
420,848,848,2003
528,1142,1142,1976
564,1252,1602,1960
564,1684,1684,2005
888,2000,2000,2004
834,1616,1616,2005
531,1872,1299,2001
225,1576,1042,1928
575,1982,807,1989
276,988,876,1950
620,1844,1844,2005
528,1258,1258,1971
500,1288,1260,1996
866,1634,1626,2006
440,1322,855,1974
403,1414,707,2004
478,1504,1504,1996
690,1670,1670,2006
518,2167,1192,1974
440,1069,1069,1977
525,1072,547,2005
995,1572,1572,1963
456,1869,1088,1890
0,882,882,1956
676,1922,1922,2005
352,780,780,1972
300,1601,533,1958
430,1530,1530,2005
0,833,833,1985
308,1183,649,1948
260,1040,1040,1962
1052,2828,1466,2006
288,1252,1032,1950
305,1246,1246,1959
180,904,884,1926
416,1652,686,1915
288,1268,832,1949
342,1913,896,1928
484,1358,1358,2009
484,1657,1657,1970
275,838,816,1918
390,2060,992,1999
474,1626,764,2003
299,1352,663,1969
240,1376,768,1941
240,1660,715,1934
432,1412,616,2006
216,1469,756,1906
400,1430,384,2000
495,1094,1094,1953
758,1826,1814,2005
576,924,672,1949
528,1502,1488,1985
603,1688,616,1997
572,1262,1262,2006
788,1905,1905,2006
541,2031,1153,1998
478,1350,1064,1974
613,1829,941,2003
300,965,828,1965
280,924,672,1941
905,2263,1055,2001
540,2108,1127,1935
528,1242,1242,1973
240,1573,884,1935
434,2035,884,2001
516,1232,1232,1984
483,1964,803,1976
0,1140,576,1910
450,894,894,1967
619,2654,1054,1968
396,768,768,1972
0,912,0,1947
504,2080,1040,1969
576,1040,1040,1996
216,1616,1149,1926
273,1047,641,1885
484,1803,1134,1957
528,832,832,1954
384,894,894,1966
189,1192,596,1920
772,1850,1833,2004
288,899,864,1967
264,892,864,1966
506,2291,1214,1910
360,2138,849,1898
470,1604,926,1997
422,2021,868,2006
308,938,938,1975
216,1426,912,1918
400,1920,928,1948
260,1098,1098,1955
0,729,270,1935
528,1252,1252,1959
792,1584,1584,1967
592,1506,1498,2008
506,1709,1698,1999
299,1092,1092,1957
758,1746,1746,2006
667,2287,1304,1953
200,789,768,1926
270,1041,1041,1959
431,1908,967,2002
390,2267,1010,2002
180,875,715,1931
364,1526,1216,1957
714,1567,1567,1977
1020,2822,1734,2008
360,1378,689,1928
368,1738,715,1920
521,2060,1151,1988
286,1128,936,1954
440,1720,840,2004
338,1050,1050,1956
576,1114,1114,2003
750,1053,1008,1958
682,1593,1593,2001
318,1214,1214,1967
264,816,816,1982
400,1535,0,1979
795,3112,1360,1918
685,1919,1079,2006
672,1097,1097,1994
423,1750,983,1940
288,987,483,1972
576,981,981,1971
447,1700,1398,1959
308,816,816,1957
622,1840,944,2001
576,2521,942,1973
902,1002,1002,1970
294,841,721,1950
564,996,936,1992
856,1713,1713,2004
576,1412,1392,1988
923,1236,912,1957
648,1040,1064,1963
608,1616,1595,1995
601,1414,1184,1958
576,1950,975,1997
490,1086,1086,1954
528,1576,1324,1923
624,768,768,1970
676,1381,1161,1972
647,2169,1284,2002
287,720,0,1949
520,2792,1510,1920
576,936,936,1953
588,1181,1138,1972
954,1689,1689,2007
280,948,948,1954
440,1512,756,2000
450,894,894,1968
644,1852,900,2009
290,845,0,1957
0,774,544,1931
666,3238,2033,1995
632,1232,1232,2007
528,1164,1164,1969
160,1248,912,1930
572,1687,747,1948
440,1960,860,2002
286,1092,546,1970
400,894,894,1954
558,1479,1453,2003
270,1060,1060,1968
484,1436,1436,2004
504,1044,540,1952
320,1768,880,1914
432,816,816,1930
400,1430,384,2000
303,1867,1617,1955
648,1500,1356,2006
312,1100,1100,1960
264,816,816,1982
308,1328,1350,1959
842,2296,1722,2008
572,864,864,1955
453,1266,1257,2005
0,858,858,1971
506,1710,832,1993
264,1123,732,1939
460,1647,953,1999
288,874,864,1968
522,1788,1753,2001
416,1839,1477,1957
484,1868,780,1976
588,1712,1626,1959
462,1229,561,1980
890,1600,1566,2007
460,1600,916,1997
240,1344,896,1936
540,1126,1126,1977
264,923,876,1984
205,616,616,1921
0,1800,1800,1961
505,1505,1505,1953
621,1647,1430,1977
451,1132,1132,2005
470,1764,928,1997
240,1529,0,1945
336,2447,804,1919
457,1504,1346,2005
220,1163,1162,1955
440,1525,756,2000
288,935,935,1965
270,813,813,1930
230,2008,896,1948
514,2329,1475,1990
282,1558,910,1950
528,1664,832,1976
522,2110,2110,1968
684,1786,824,1997
336,1475,757,1977
256,1387,811,1954
380,1708,976,2004
440,1734,912,1962
520,2414,954,1900
493,1908,915,1994
506,1283,931,1962
573,1212,1212,2001
672,1548,952,1925
384,980,980,1967
470,1811,1073,1956
384,1056,1056,1966
484,1234,1234,2007
440,1302,630,1970
0,1406,319,1920
576,858,858,1982
736,2324,1175,2005
414,910,105,1953
442,1611,780,1964
400,1560,684,2005
630,2020,0,1977
582,1338,1338,2001
312,1188,1188,1962
527,1459,1459,2002
533,2260,1306,1996
605,1430,1413,2001
0,996,996,1940
504,1092,1092,1964
625,1250,625,2006
572,1728,864,2004
280,924,924,1975
530,1199,1199,1993
300,948,948,1968
429,925,925,1965
366,835,458,1920
610,2466,1580,2004
487,2157,924,1966
572,1060,1040,1976
804,2633,2633,2001
280,1048,993,1922
460,1664,953,2000
360,784,784,1928
473,1279,1196,1977
284,1229,1134,1956
244,1268,1268,1954
480,1428,1428,2007
352,1125,1041,1976
275,1008,1008,1954
860,1630,1622,2008
673,1728,864,2003
322,1211,952,1968
286,1040,1040,1959
511,1707,1686,1981
462,1632,935,1998
528,1392,1392,1957
270,1319,608,1953
390,1484,742,2005
300,971,971,1969
539,1062,1029,1976
0,980,945,1975
478,1405,1405,2003
472,1671,959,2000
495,1074,1056,1975
672,2320,0,1948
264,918,918,1979
528,1437,1437,1976
440,1069,1069,1977
441,1556,727,1968
510,1894,817,2002
895,1973,1935,2006
564,2978,710,1967
420,848,848,2004
400,1474,384,1995
260,1056,1056,1954
484,902,864,1983
564,1032,1032,1978
338,1077,961,1920
480,1235,1235,1961
719,1442,910,1990
264,987,483,1971
504,1004,975,1977
0,1006,1006,1959
0,1716,780,1912
565,1720,860,2004
308,960,960,1920
660,1604,1604,2006
621,2217,2217,1970
540,1844,1844,1969
380,1571,799,1993
577,1479,1468,1999
529,1786,1499,1965
338,1632,1240,1958
578,1768,866,2007
299,1096,1096,1969
542,2093,791,1986
453,1348,660,1966
410,1456,728,2005
319,1600,1484,1957
544,1700,1682,2003
389,1593,808,1992
288,1363,1008,1951
440,1441,855,1978
866,1710,1710,2007
463,2110,948,1994
475,1479,725,1976
367,767,723,1998
426,1496,654,2006
648,1567,1520,2006
308,1148,980,1952
753,1970,1085,2006
750,2810,1453,1990
696,2630,1470,1998
480,2274,1105,1960
433,1261,1261,1958
480,1486,1486,1964
240,773,773,1953
462,1537,1319,1962
546,1779,866,1998
0,1225,950,1959
420,848,848,2003
198,1376,780,1937
440,1471,729,1999
0,869,440,1923
440,1458,729,1999
440,894,864,1974
427,1718,832,1998
611,1701,1390,1975
576,864,864,1972
512,1855,528,1976
616,1651,1606,1986
528,1224,612,2009
288,928,928,1957
0,1092,0,1930
546,1641,728,1925
776,1416,708,1968
736,1904,1058,2005
308,936,936,1956
452,1556,716,1980
400,864,864,1951
900,1654,1654,2002
576,1416,816,1918
856,2365,1252,1999
436,1067,1067,1950
539,1902,0,1978
420,1557,1374,2003
486,1839,1195,1998
